StationNumber,Lat,Lon,Address,State,City,County,Zip
722542,30.733,-98.233,"509 Industrial Blvd, Burnet, TX 78611, USA",TX,Burnet,Burnet County,78611
722541,33.183,-96.583,"Co Rd 327, McKinney, TX 75069, USA",TX,McKinney,Collin County,75069
722543,29.617,-95.65,"S Texas 6, Sugar Land, TX 77498, USA",TX,Sugar Land,Fort Bend County,77498
722547,30.683,-97.683,"302 Toledo Trail, Georgetown, TX 78628, USA",TX,Georgetown,Williamson County,78628
722552,33.651,-97.197,"Gainesville Muni Airport - GLE, 2300 Airport Dr, Gainesville, TX 76240, USA",TX,Gainesville,Cooke County,76240
722553,30.219,-96.374,"4920 Old Independence Rd, Brenham, TX 77833, USA",TX,Brenham,Washington County,77833
722554,29.908,-96.95,"Unnamed Road, La Grange, TX 78945, USA",TX,La Grange,Fayette County,78945
722563,31.483,-97.317,"McGregor Executive Airport, 27474 US-84, McGregor, TX 76657, USA",TX,McGregor,McLennan County,76657
722588,33.067,-96.067,"Majors Airport (GVT), 101 Majors Rd, Greenville, TX 75402, USA",TX,Greenville,Hunt County,75402
722587,33.633,-95.45,"Unnamed Road, Paris, TX 75462, USA",TX,Paris,Lamar County,75462
722577,31.15,-97.4,"4109 Airport Trail, Temple, TX 76504, USA",TX,Temple,Bell County,76504
